adresse,commune,lat_t,lon_t
Entre N° 539 et N° 565 Chemin de la Plage (Rochetaillée-sur-Saône),Rochetaillee Sur Saone,,
Du 68 au 70 Boulevard des Droits de l'Homme (Vaulx-en-Velin),Vaulx en Velin,,
Au droit du n°47 Rue des Acqueducs (LYON 5),Lyon 5ème,,
"Rue Guillermin, entre Route de Genas et Rue Marcel Bramet (Bron)",Bron,,
d'environ 15 mètres au Sud de l'angle avec Rue J.Macé à Nord du 17 Rue Louis Aulagne (Oullins),Oullins,,
156 Rue des Martyrs de la Libération (PIERRE-BENITE),Pierre Benite,,
Rue Président Edouard Herriot (Oullins) Croisement Grande Rue ,Oullins,,
70 Rue de la République (Oullins),Oullins,,
Angle Rue de la République et Rue Fleury (Oullins),Oullins,,
"- Avenue Charles de Gaulle, Rue Joseph Muntz, Place Jules Grandclément, et Ancienne Route d'Heyrieux (Vénissieux)  ",Venissieux,,
104 Grande Rue (Oullins),Oullins,,
Chemin de l'Epie (Décines-Charpieu),Decines Charpieu,,
au 263 Route de Genas (Villeurbanne),Bron,,
au 61b Rue Nationale (Jonage),Jonage,,
9 Avenue Bataillon Carmagnole Liberté (Vaulx-en-Velin),Vaulx en Velin,,
Chemin de Champivost (Limonest),Limonest,,
Face au n°25 Rue du Viard (Craponne),Craponne,,
2 Quai Docteur Gailleton (Lyon 2e Arrondissement),Lyon 2ème,,
Boulevard Jean Mermoz (Corbas),Corbas,,
Face au 26 Voie Romaine (Craponne),Craponne,,
Entre 3b et 5 Rue des Cuirassiers (Lyon 3ème Arrondissement),Lyon 3ème,,
Du 14 au 32 Cours Bayard (Lyon 2e Arrondissement),Lyon 2ème,,
40 Rue du Clos Verger (Vénissieux),Venissieux,,
18 Rue du Bourg (Lissieu),Lissieu,,
"10b, 20, 22, et 23 Rue Emile Evellier (Grigny)",Grigny,,
du 1rue du commandant l'herminier au 12 rue du commandant l'herminier,Villeurbanne,,
17 Rue Yves Farge (Givors),Givors,,
2 Avenue Youri Gagarine (Givors),Givors,,
11 Rue de l'Eglise,Charly,,
"Du Rond-Point Route Départementale 306 / Avenue de la Porte de Lyon  en passant par la Route Départementale 306 puis par l'Avenue Général de Gaulle, par l'Avenue de Montlouis, par le Boulevard de la République, par la Rue de la Mairie , par Rue John et Robert Kennedy, par Rue Louis Juttet puis l'Avenue de Lanessan, par l'Avenue 25ème Régiment des Tirailleurs Sénégalais jusqu'au Rond-Point avec la Porte de Vaise (Lyon 9e Arrondissement, Champagne-au-Mont-d'Or, Limonest)",Lyon 9ème,,
